distance_m,geometry,elevation_masl,head_m
1994.0527102619471,POINT (295674.7078432861 8027175.168063767),1479,96.0
2035.595475059071,POINT (295674.2794955289 8027216.708620157),1480,97.0
2077.138239856195,POINT (295653.2660194854 8027237.234586284),1479,96.0
2118.681004653319,POINT (295611.72547348915 8027236.805231736),1478,95.0
2160.223769450443,POINT (295570.18492749287 8027236.375877187),1476,93.0
2201.7665342475666,POINT (295528.6443814965 8027235.946522638),1474,91.0
2243.3092990446908,POINT (295487.10383550066 8027235.517168091),1475,92.0
2284.8520638418145,POINT (295445.5632895046 8027235.087813541),1475,92.0
2326.3948286389386,POINT (295404.0227435081 8027234.658458993),1474,91.0
2367.9375934360623,POINT (295362.4821975118 8027234.229104444),1473,90.0
2409.480358233186,POINT (295320.94165151566 8027233.799749896),1472,89.0
2451.02312303031,POINT (295279.4011055201 8027233.3703953475),1473,90.0
2492.565887827434,POINT (295237.8605595236 8027232.941040799),1475,92.0
2534.108652624558,POINT (295196.3200135275 8027232.511686251),1474,91.0
2575.651417421682,POINT (295154.7794675312 8027232.082331702),1473,90.0
2617.194182218806,POINT (295113.23892153497 8027231.652977154),1471,88.0
2658.7369470159297,POINT (295071.69837553875 8027231.223622605),1470,87.0
2700.2797118130534,POINT (295030.1578295425 8027230.794268057),1469,86.0
2741.8224766101775,POINT (294988.61728354625 8027230.364913508),1469,86.0
2783.3652414073013,POINT (294947.07673755026 8027229.93555896),1469,86.0
2824.9080062044254,POINT (294905.53619155404 8027229.506204411),1468,85.0
2866.450771001549,POINT (294863.99564555776 8027229.076849863),1469,86.0
2907.9935357986733,POINT (294822.45509956183 8027228.6474953145),1469,86.0
2949.536300595797,POINT (294780.9145535657 8027228.218140766),1469,86.0
2991.0790653929207,POINT (294739.3740075695 8027227.788786218),1470,87.0
3032.621830190045,POINT (294697.8334615729 8027227.359431669),1470,87.0
3074.1645949871686,POINT (294656.2929155768 8027226.930077121),1470,87.0
3115.7073597842927,POINT (294614.75236958073 8027226.500722571),1470,87.0
3157.2501245814165,POINT (294614.37629431963 8027185.750308169),1468,85.0
3198.79288937854,POINT (294614.80686527886 8027144.209774762),1466,83.0
3240.3356541756643,POINT (294615.23743623844 8027102.669241357),1466,83.0
3281.878418972788,POINT (294615.6680071977 8027061.128707951),1467,84.0
3323.421183769912,POINT (294616.09857815725 8027019.588174546),1466,83.0
3364.963948567036,POINT (294616.5291491167 8026978.0476411395),1465,82.0
3406.50671336416,POINT (294616.9597200765 8026936.507107734),1466,83.0
3448.049478161284,POINT (294617.3902910362 8026894.966574328),1469,86.0
3489.5922429584075,POINT (294617.8208619958 8026853.426040922),1471,88.0
3531.1350077555317,POINT (294618.2514329553 8026811.885507516),1473,90.0
3572.6777725526554,POINT (294618.68200391467 8026770.344974111),1473,90.0
3614.2205373497795,POINT (294619.1125748741 8026728.804440705),1473,90.0
3655.7633021469032,POINT (294619.54314583354 8026687.263907299),1475,92.0
3697.3060669440274,POINT (294619.97371679294 8026645.723373894),1476,93.0
3738.848831741151,POINT (294620.40428775246 8026604.182840488),1476,93.0
3780.391596538275,POINT (294620.83485871216 8026562.642307083),1476,93.0
3821.934361335399,POINT (294621.2654296713 8026521.101773676),1478,95.0
3863.4771261325227,POINT (294621.6960006313 8026479.56124027),1479,96.0
3905.019890929647,POINT (294622.1265715909 8026438.020706864),1478,95.0
3946.5626557267706,POINT (294622.5571425501 8026396.480173458),1479,96.0
3988.1054205238943,POINT (294622.9877135096 8026354.939640053),1477,94.0
4029.6481853210184,POINT (294623.4182844694 8026313.399106646),1477,94.0
4071.190950118142,POINT (294623.84885542886 8026271.858573241),1481,98.0
4112.733714915266,POINT (294624.27942638815 8026230.318039835),1481,98.0
